Time;Status TC1;Internal T TC1;External T TC1;Status TC2;Internal T TC2;External T TC2;Mark
24092023_165755;Working;38.52;29.55;Working;29.06;27.25;0
24092023_165800;Working;38.55;29.56;Working;29.06;27.25;0
24092023_165805;Working;39.24;29.56;Working;29.05;27.24;0
24092023_165810;Working;39.49;29.57;Working;29.07;27.25;0
24092023_165816;Working;39.19;29.6;Working;29.09;27.24;0
24092023_165821;Working;40.73;29.6;Working;29.11;27.25;0
24092023_165826;Working;38.17;29.61;Working;29.1;27.25;0
24092023_165831;Working;36.52;29.62;Working;29.12;27.25;0
24092023_165836;Working;38.44;29.62;Working;29.12;27.25;0
24092023_165841;Working;39.38;29.63;Working;29.14;27.25;0
24092023_165846;Working;38.84;29.63;Working;29.13;27.25;0
24092023_165851;Working;37.39;29.62;Working;29.12;27.25;0
24092023_165856;Working;37.29;29.62;Working;29.12;27.25;0
24092023_165901;Working;36.08;29.61;Working;29.09;27.25;0
24092023_165906;Working;38.59;29.59;Working;29.08;27.25;0
24092023_165911;Working;41.62;29.59;Working;29.08;27.25;0
24092023_165916;Working;40.75;29.59;Working;29.1;27.25;0
24092023_165921;Working;38.7;29.58;Working;29.1;27.25;0
24092023_165926;Working;37.27;29.57;Working;29.07;27.25;0
24092023_165931;Working;37.12;29.56;Working;29.06;27.26;0
24092023_165936;Working;37.01;29.57;Working;29.06;27.25;0
24092023_165941;Working;38.48;29.58;Working;29.07;27.25;0
24092023_165946;Working;39.79;29.6;Working;29.09;27.25;0
24092023_165951;Working;38.06;29.61;Working;29.1;27.1;0
24092023_165956;Working;39.02;29.6;Working;29.1;27.04;0
24092023_170001;Working;38.31;29.58;Working;29.06;27.0;0
24092023_170006;Working;40.16;29.57;Working;29.06;27.14;0
24092023_170011;Working;37.65;29.58;Working;29.09;27.25;0
24092023_170016;Working;35.46;29.61;Working;29.11;27.26;0
24092023_170021;Working;36.55;29.61;Working;29.11;27.31;0
24092023_170026;Working;35.77;29.61;Working;29.1;27.25;0
24092023_170031;Working;34.86;29.61;Working;29.09;27.25;0
24092023_170036;Working;34.73;29.6;Working;29.1;27.25;0
24092023_170041;Working;35.08;29.62;Working;29.11;27.25;0
24092023_170046;Working;35.59;29.61;Working;29.09;27.25;0
24092023_170051;Working;35.26;29.59;Working;29.06;27.25;0
24092023_170056;Working;36.34;29.58;Working;29.06;27.25;0
24092023_170101;Working;34.79;29.56;Working;29.04;27.25;0
24092023_170106;Working;35.48;29.54;Working;29.04;27.25;0
24092023_170111;Working;36.0;29.51;Working;29.03;27.25;0
24092023_170116;Working;35.01;29.55;Working;29.06;27.25;0
24092023_170121;Working;34.65;29.56;Working;29.07;27.3;0
24092023_170126;Working;35.94;29.57;Working;29.08;27.29;0
24092023_170131;Working;36.86;29.58;Working;29.11;27.34;0
24092023_170136;Working;36.55;29.6;Working;29.12;27.29;0
24092023_170141;Working;37.3;29.61;Working;29.12;27.25;0
24092023_170146;Working;35.7;29.57;Working;29.07;27.26;0
24092023_170151;Working;34.16;29.57;Working;29.06;27.25;0
24092023_170156;Working;36.08;29.55;Working;29.06;27.26;0
24092023_170201;Working;37.62;29.56;Working;29.06;27.25;0
24092023_170206;Working;36.58;29.57;Working;29.07;27.25;0
24092023_170211;Working;37.4;29.58;Working;29.06;27.25;0
24092023_170216;Working;36.58;29.58;Working;29.06;27.25;0
24092023_170221;Working;35.76;29.57;Working;29.06;27.25;0
24092023_170226;Working;34.21;29.59;Working;29.06;27.25;0
24092023_170232;Working;34.15;29.58;Working;29.07;27.3;0
24092023_170237;Working;33.38;29.59;Working;29.08;27.3;0
24092023_170242;Working;34.6;29.61;Working;29.09;27.39;0
24092023_170247;Working;35.05;29.62;Working;29.12;27.48;0
